epoch,accuracy,loss,val_accuracy,val_loss
0,0.747225821018219,0.8239374756813049,0.8422619104385376,0.5228325128555298
1,0.8836488127708435,0.4238843321800232,0.9092261791229248,0.3788863718509674
2,0.9203655123710632,0.3040910065174103,0.9196428656578064,0.3197423815727234
3,0.940274178981781,0.2391171157360077,0.90625,0.3570230007171631
4,0.9513707756996155,0.20216871798038483,0.9226190447807312,0.3033650815486908
5,0.9637728333473206,0.16829913854599,0.930059552192688,0.3054165542125702
6,0.9701370596885681,0.14204534888267517,0.918154776096344,0.28075850009918213
7,0.9796018004417419,0.11558972299098969,0.913690447807312,0.3105483651161194
8,0.9838446378707886,0.09899462759494781,0.9211309552192688,0.30386874079704285
9,0.9848237633705139,0.09064687043428421,0.9345238208770752,0.2999447286128998
