epoch,accuracy,loss,val_accuracy,val_loss
0,0.6103132963180542,1.2079468965530396,0.757440447807312,0.7426787614822388
1,0.7770887613296509,0.6949637532234192,0.8080357313156128,0.5970761179924011
2,0.8337141275405884,0.5290703773498535,0.8303571343421936,0.5247510671615601
3,0.8666775226593018,0.4272178113460541,0.8735119104385376,0.4116038680076599
4,0.8854438662528992,0.3731923997402191,0.8764880895614624,0.39445963501930237
5,0.9073107242584229,0.3097575902938843,0.894345223903656,0.35952991247177124
6,0.9239556193351746,0.26889607310295105,0.8645833134651184,0.4392637014389038
7,0.9343994855880737,0.23390357196331024,0.898809552192688,0.3400318920612335
8,0.9445169568061829,0.20621903240680695,0.9092261791229248,0.3509584963321686
9,0.9497389197349548,0.18652696907520294,0.9002976417541504,0.3269304633140564
