epoch,accuracy,loss,val_accuracy,val_loss
0,0.7583224773406982,0.8064113855361938,0.8883928656578064,0.45316368341445923
1,0.9035574197769165,0.38142406940460205,0.9166666865348816,0.32826218008995056
2,0.9278720617294312,0.2803250253200531,0.898809552192688,0.3484979569911957
3,0.9510443806648254,0.2162710428237915,0.90625,0.35464197397232056
4,0.9649151563644409,0.16946472227573395,0.9345238208770752,0.31005826592445374
5,0.9671997427940369,0.15007808804512024,0.9434523582458496,0.2465962916612625
6,0.9745430946350098,0.13806955516338348,0.918154776096344,0.34247320890426636
7,0.977643609046936,0.11743217706680298,0.9270833134651184,0.31534019112586975
8,0.9890666007995605,0.08419282734394073,0.9241071343421936,0.31592896580696106
9,0.9895561337471008,0.08031105250120163,0.90625,0.421800434589386
